word	translation	category	reason	hallelujah_original	frequency
latest	adj. 最近的；最新的；最后的；n. 最迟的时间；最新的潮流；最新消息；形容词late的最高级形式.	POOR	English leftover	adj. 最近的；最新的；最后的|n. 最迟的时间；最新的潮流；最新消息|形容词late的最高级形式.	131952173
laughed	v. 发笑；笑；嘲笑（动词laugh的过去式和过去分词）	POOR	English leftover	v. 发笑；笑；嘲笑（动词laugh的过去式和过去分词）	3904519
leftovers	n. 剩余物；残羹剩菜；名词leftover的复数形式.	POOR	English leftover	n. 剩余物；残羹剩菜|名词leftover的复数形式.	624074
legalize	vt. 使合法化；法律上认为正当；=legalise（英）	POOR	English leftover	vt. 使合法化；法律上认为正当|=legalise（英）	423133
lived	suf.  表示“寿命 ... 长的； 生活 ... 的”；动词live的过去式和过去分词	POOR	English leftover	suf.  表示“寿命 ... 长的； 生活 ... 的”|动词live的过去式和过去分词	18050710
loosest	adj. 松的；宽松的；不确切的；不牢固的；放纵的；n. 解放；放任；放纵；v. 弄松；释放；放枪；adv. 松散地	POOR	English leftover	adj. 松的；宽松的；不确切的；不牢固的；放纵的|n. 解放；放任；放纵|v. 弄松；释放；放枪|adv. 松散地	39565
lumpur	吉隆坡	POOR	very short translation: '吉隆坡'	隆坡	2548208
malthusian	adj. 马尔萨斯人口论的；马尔萨斯主义的；n. 马尔萨斯主义者	POOR	English leftover	adj. 马尔萨斯人口论的；马尔萨斯主义的|n. 马尔萨斯主义者	53013
masterly	adj. 巧妙的；熟练的；adv. 巧妙地；熟练地	POOR	English leftover	adj. 巧妙的；熟练的|adv. 巧妙地；熟练地	112581
meckel	麦克尔	POOR	very short translation: '麦克尔'	梅克尔	48798
miniatures	n. 微缩模型；缩图；微缩礼品；缩小型细密画（miniature的复数）	POOR	English leftover	n. 微缩模型；缩图；微缩礼品；缩小型细密画（miniature的复数）	3163219
monotone	n. (说话或唱歌)单调；(文体的)单调；单调音；adj. 单调的；无变化的	POOR	English leftover	n. (说话或唱歌)单调；(文体的)单调；单调音|adj. 单调的；无变化的	1409778
montant	n. 竖杆	POOR	too short for word length	n.  <法语>竖杆	107766
morals	n. 道德；名词moral的复数形式.	POOR	English leftover	n. 道德|名词moral的复数形式.	1403442
nabt	abbr. 噪声抑制； 全国盲人教师协会； 全国生物学教师协会； 正常显露的脑组织	POOR	English leftover	abbr. =National Association of Blind Teachers 全国盲人教师协会；National Association of Biology Teachers 全国生物教师协会	13095
newly	adv. 新近地；重新地	POOR	English leftover	adv. 新近地；重新地	21102330
nonpaying	adj. 非有效的； 不合算的	POOR	English leftover	adj. 不合算的(非有效的)	37522
onside	adj. 正规位置的；不越位的；adv. 不越位地	POOR	English leftover	adj. 正规位置的；不越位的|adv. 不越位地	47355
phonily	虚假地	POOR	very short translation: '虚假地'		0
pinched	adj. 压紧的；收缩的；病恹恹的；动词pinch的过去式和过去分词形式.	POOR	English leftover	adj. 压紧的；收缩的；病恹恹的|动词pinch的过去式和过去分词形式.	398260
pkg	abbr. 包装	POOR	English leftover	abbr. 包装(=package)	4610477
postponed	adj. 延期的；缓办的；动词postpone的过去式和过去分词.	POOR	English leftover	adj. 延期的；缓办的|动词postpone的过去式和过去分词.	1964751
princesse	adj. 公主装的，紧身连衣裙的	POOR	English leftover	adj. 公主装的	150699
priori	adj. 先验的(由原因推出结果的)；adv. 先验(由原因推出结果)	POOR	English leftover	adj. 先验的(由原因推出结果的)|adv. 先验(由原因推出结果)	1016603
pushed	adj. 为(金钱、时间)所窘迫的；忙碌的；为难的；动词push的过去式和过去分词形式.	POOR	English leftover	adj. 为(金钱、时间)所窘迫的；忙碌的；为难的|动词push的过去式和过去分词形式.	6482839
py	巴拉圭	POOR	very short translation: '巴拉圭'	[域] Paraguay, 巴拉圭	1971270
qu	abbr. 夸脱；abbr. 四分之一；abbr. 季度的；abbr. 问题	POOR	English leftover	abbr. 夸脱(=quart)|abbr. 四分之一(=quarter)|abbr. 季度的(=quarterly)|abbr. 问题(=question)	1463168
quicker	adj. 快些的；形容词quick的比较级.	POOR	English leftover	adj. 快些的|形容词quick的比较级.	2673094
quickest	adj. 最快的；形容词quick的最高级.	POOR	English leftover	adj. 最快的|形容词quick的最高级.	1002715
realistic	adj. 现实的；现实主义的；逼真的；实在论的	POOR	English leftover	adj. 现实的；现实主义的	8874648
remade	adj. 再做的；重造的；动词remake的过去式和过去分词形式.	POOR	English leftover	adj. 再做的；重造的|动词remake的过去式和过去分词形式.	256566
residuals	n. 剩余额；残差；追加酬金；名词residual的复数形式.	POOR	English leftover	n. 剩余额；残差；追加酬金|名词residual的复数形式.	852590
rubina	n. [女子名] 鲁比娜 Ruby的变体	POOR	English leftover	n. 鲁比娜	21991
seducers	诱惑者	POOR	very short translation: '诱惑者'		0
seized	adj. 查封的，扣押的；v. 逮住，抓住，咬住（动词seize的过去式,动词seize的过去分词）	POOR	English leftover	adj. 查封的，扣押的|v. 逮住，抓住，咬住（动词seize的过去式,动词seize的过去分词）	3388226
shallow	adj. 浅的；薄的；n. 浅滩；浅处；v. 变浅	POOR	English leftover	adj. 浅的；薄的|n. 浅滩；浅处|v. 变浅	4834372
shaving	n. 剃须；修面；削片；动词shave的现在分词.	POOR	English leftover	n. 剃须；修面；削片|动词shave的现在分词.	2809902
shoestring	adj. 小本经营的；微小的；像鞋带一样狭长的；n. 鞋带；零星资本；小额资本	POOR	English leftover	adj. 小本经营的；微小的；像鞋带一样狭长的|n. 鞋带；零星资本；小额资本	332956
snouted	adj. 有 ... 鼻子的	POOR	English leftover	adj.  有 ... 鼻子的	14469
soldiers	n. 兵；军人；名词soldier的复数形式.	POOR	English leftover	n. 兵；军人|名词soldier的复数形式.	16175690
splintered	n. 尖碎片；分裂出来的小派别；v. 破裂；组成小派别；adj. 分离的；分裂的(政党等)	POOR	English leftover	n. 尖碎片；分裂出来的小派别|v. 破裂；组成小派别|adj. 分离的；分裂的(政党等)	155179
sportive	adj. 运动的；嬉戏的；闹着玩的；适合运动穿戴的	POOR	English leftover	adj. 爱玩的；爱好运动的	141102
stdy	稳定的	POOR	very short translation: '稳定的'	Saturday 星期六	26651
steering	n. 掌舵；转向装置；操作；指导；动词steer的现在分词.	POOR	English leftover	n. 掌舵；转向装置；操作；指导|动词steer的现在分词.	10826821
stout	adj. 强壮的；肥胖的；牢固的；坚定的；n. 烈啤酒	POOR	English leftover	adj. 强壮的；肥胖的；牢固的；坚定的|n. 烈啤酒	1939514
sulfurous	adj. 硫磺的；含有硫磺的	POOR	English leftover	adj. 硫磺的；含有硫磺的；地狱般的|=sulphurous.	31666
tables	n. 表格；名词table的复数形式.	POOR	English leftover	n. 表格|名词table的复数形式.	36089541
teenagers	n. 青少年；名词teenager的复数形式.	POOR	English leftover	n. 青少年|名词teenager的复数形式.	4979216
thrashing	n. <口>轻易击败；痛打；动词thrash的现在分词	POOR	English leftover	n. <口>轻易击败；痛打|动词thrash的现在分词	327460
toed	adj. 有趾的；斜着钉进去的；动词toe的过去式和过去分词形式.	POOR	English leftover	adj. 有趾的；斜着钉进去的|动词toe的过去式和过去分词形式.	328663
token	n. 象征；标志；纪念品；代币；代价券；[语言学]语言符号；adj. 象征性的；装样子的	POOR	English leftover	n. 象征；标志；纪念品；代币；代价券；[语言学]语言符号|adj. 象征性的；装样子的	5672353
tonight	adv. 今晚；n. 今晚	POOR	English leftover	adv. 今晚|n. 今晚	20612955
tonnes	公吨	POOR	too short for word length		0
tptb	大腕	POOR	very short translation: '大腕'	The powers that be 大腕	32376
trackers	n. 追踪者（tracker的复数形式）	POOR	English leftover	n. 追踪者（tracker的复数形式）	631230
tracking	n. 跟踪；按学生能力分组；动词track的现在分词形式.	POOR	English leftover	n. 跟踪；按学生能力分组|动词track的现在分词形式.	25294352
treatises	n. 论文；名词treatise的复数形式.	POOR	English leftover	n. 论文|名词treatise的复数形式.	283257
trotskyite	n. 托洛斯基分子；adj. 托洛斯基分子的	POOR	English leftover	n. 托洛斯基分子|adj. 托洛斯基分子的	29026
tyres	轮胎	POOR	too short for word length		0
unhumanize	非人化	POOR	very short translation: '非人化'		0
unorthodox	adj. 非正统的；异端的；异教的	POOR	English leftover	adj. 非正统的；异端的	470560
unthankful	adj. 不感谢的； 不感恩的； 不知感谢的； 使人不愉快的	POOR	English leftover	adj. 不感谢的；不感恩的；不知感谢的	14290
vassal	n. 诸侯；封臣；附庸；属国；adj. 隶属的；奴仆的	POOR	English leftover	n. 诸侯；封臣；附庸；属国|adj. 隶属的；奴仆的	121039
vender	n. 卖主；小贩；自动售货机（等于vendor）	POOR	English leftover	n. 商贩；自动贩卖机|=vendor.	164079
vestiges	n. 遗迹；名词vestige的复数形式.	POOR	English leftover	n. 遗迹|名词vestige的复数形式.	203863
vis	n. [力]力；活力；维斯岛(南斯拉夫西部的一岛屿)；abbr. 可见光谱测量	POOR	English leftover	n. [力]力；活力；维斯岛(南斯拉夫西部的一岛屿)|abbr. 可见光谱测量(=Visible Spectrometry)	3991760
vulcanized	adj. 硫化的；动词vulcanize的过去式和过去分词.	POOR	English leftover	adj. 硫化的|动词vulcanize的过去式和过去分词.	85532
weakling	n. 虚弱的人；懦弱的人；软弱的人；adj. 弱的；懦弱的	POOR	English leftover	n. 虚弱的人；懦弱的人；软弱的人|adj. 弱的；懦弱的	71404
wearied	adj. 疲倦的；厌烦的；v. 疲倦；厌烦；生厌	POOR	English leftover	adj. 疲倦的；厌烦的|v. 疲倦；厌烦；生厌	111906
wha	abbr. [医]温暖、潮湿的空气	POOR	English leftover	abbr. 世界卫生大会(=World Health Assembly)	673618
windriver	制作 Win95/98/ 下的驱动程序的好工具。支持 ISA，EISA，PCI，Plug&Play； 和	POOR	English leftover	WinDriver驱动	54098
xml	abbr. [计算机]可扩展标记语言(=extensible markup language)	POOR	English leftover	abbr. [计算机]可扩展标记语言(=extensible markup language)	57241749
yobbo	n. 游手好闲的小青年；小坏蛋；粗鲁无礼的年轻人（等于yob）	POOR	English leftover	n.  <英>小坏蛋； 小流氓	42684
