text	frequency
chieftaincy	42604
chignon	35989
chilli	45118
chinup	37225
chitlins	47760
chlorinate	35879
chocolatier	45122
chronotope	39875
chuckwagon	49610
churchly	46321
cigarillo	46710
citified	49669
civvy	49121
claro	41492
clientelistic	42537
cloisonne	46651
clomp	29572
cloudlike	43572
clubface	21866
clubhead	21227
coalitional	42349
coatless	48987
coatrack	40312
cobblestoned	43209
cognitional	49969
cognitivist	47751
cojones	44634
coldwater	22923
collectivistic	44564
collimate	37857
colourful	38648
colouring	44216
comandante	43241
combustor	34517
commodified	45926
companionably	37815
complicitous	45199
composter	31208
comradely	41970
conceptualist	46165
confrere	42355
congeries	44082
congregant	21887
consociational	42459
consomme	38750
constipate	37508
consummately	46595
contemplatively	43833
contraindicate	37829
convalesce	35844
conventioneer	32096
cookstove	32824
coquettishly	49160
corkboard	41111
cornhusk	49550
cosset	42560
cottager	45707
counterman	41808
countermove	46931
courtliness	49305
covid	3055
cowlick	35025
crablike	46580
crassness	49966
creaturely	39249
credentialed	40103
creolization	48711
crewmate	34408
crewmember	27245
crosscurrent	37908
crosspiece	44641
crudites	47087
crystalize	44378
crystallographer	46783
cuppa	48256
curlicue	31072
dago	45506
dah	45660
dailiness	47073
damar	37416
damnably	45958
damply	48167
darky	40990
darnedest	48118
dashiki	43850
dataflow	37048
dauntingly	41020
dayroom	34752
dazedly	44925
deadlift	43264
deadliness	47707
dealmaker	29154
debark	47666
debone	45693
decathlete	44457
decolletage	43113
decolonize	38681
deconstructed	42113
deconstructionism	44604
decontextualized	48133
decorously	42006
defang	41798
defrock	43305
delamination	49712
delegitimation	47493
deliberateness	44301
dematerialize	48378
demilitarize	42943
demimonde	43971
demythologize	49034
denude	28623
depersonalize	37140
depoliticization	48108
depoliticize	32091
deprave	32017
depressurize	46218
depthless	49352
deputize	36004
derange	25324
deserialization	45364
deserialized	21039
despondently	46679
desultorily	49475
diarrhoea	37042
dichotomize	33651
dichotomously	48317
didacticism	40219
diffidently	43149
disbar	32882
discernable	30363
discomfit	34061
disconfirm	41488
disembody	32291
disgruntlement	46119
dishevelled	43812
dishrag	37470
dishtowel	34264
dishware	43780
disingenuousness	46590
disinterestedly	47302
disorganize	21065
dispirit	32193
dissimulate	48471
distastefully	49252
distil	17840
distracter	47375
docilely	47708
dockworker	37274
dogcatcher	46140
doglike	42469
dolefully	42141
domineer	29842
doomsayer	32655
doorjamb	27412
doornail	48229
dooryard	46873
doppelganger	35458
doubleness	47336
dourly	46314
drabness	49385
dreadlock	23202
drib	44534
drowse	36421
drugmaker	25783
dryland	31231
dumbass	46092
dumbfound	19961
dumbwaiter	43098
duro	49082
dynast	48894
earflap	41303
eclogue	49710
ecocentric	49404
ecotourist	36329
ecumenically	47490
eeriness	45997
effing	48809
eighths	38954
elan	32749
elasticsearch	40000
elbowroom	46696
emaciate	29123
embitter	27928
embrasure	47475
embryologist	44506
empanel	46305
empathetically	42138
emptily	41937
enamor	18173
encrust	20477
encyclopaedia	33063
endogamous	44720
endogamy	43889
enduro	47928
enervate	37724
enfeeble	38473
engorge	38515
enlistee	33247
enmesh	21505
enrapture	29285
enshroud	36851
entomb	26008
enviably	49906
epaulet	33926
epaulette	48653
epidemiologic	24922
eroticized	45151
espaliered	46714
essentialized	41800
ethnohistorical	38909
ethnolinguistic	45566
ethologist	47636
europeanized	45831
evenhandedness	36268
exemplarity	48585
exemplum	42461
exogamy	48812
exorcize	23759
exteriority	48815
extramusical	42209
extraterritoriality	49456
extratextual	47040
extremophile	49263
extrinsically	44888
exurb	37494
eyeblink	45837
eyedrop	40468
eyehole	44799
eyeshade	43602
eyestalk	41311
farside	46902
fastapi	40000
feistiness	45765
feminazi	43751
femoris	44217
fenceline	46043
fencepost	42836
fencerow	46480
fetishization	49970
fetishize	34757
fetishized	48709
fictionalize	31402
fille	35654
filo	40027
finca	48175
finfish	35167
firepit	45258
fireplug	47878
fishfinder	37580
fishlike	44778
flabbergast	49125
flagstick	44412
flameout	43491
flatboat	44068
fleshpot	49898
flimflam	48714
flipside	43174
flirtatiously	40505
floodwall	44963
floodwaters	18959
flummox	42139
focalization	31007
fogy	44697
folie	47779
folksinger	40094
foodborne	17399
footrace	40317
forcefield	46464
forepaw	33853
foreshorten	37025
forewoman	48375
forme	35143
fortyish	36496
fossilize	34986
fourths	31573
freeload	49401
fretfully	42687
frippery	45125
frisket	43736
frontcourt	32241
froufrou	48230
fulfilment	38858
fulmination	48939
fumarole	41381
funnyman	39999
gallivant	43091
galosh	33034
gangbanger	29745
gangbuster	33125
gangling	47186
gantlet	34177
gasbag	47502
gaslit	47919
gatepost	45800
gaudily	48080
gearhead	37513
generalised	48786
gentrified	37831
gentrify	33989
geoeconomic	48384
germplasm	25074
gessoed	40799
gesticulate	30156
gesticulation	43127
ghettoize	40686
gingerroot	41070
gipper	39357
girlishly	46658
github	40000
gitlab	40000
glaciologist	46695
glamorously	49383
glassmaker	39966
glibness	48679
gloppy	48268
glute	27138
gnomic	47429
gooseflesh	44542
grafana	40000
grama	42558
grampa	42345
grandbaby	44701
grandfatherly	36187
grandkid	17368
grandmama	31042
grandmotherly	35266
grandniece	45249
grapeshot	48199
gratifyingly	47613
gravesite	28151
graywater	38115
greensward	42747
grillwork	38762
gringa	45262
grisaille	36030
grogginess	49574
grotesquerie	45520
groundball	49425
groundcover	32077
groundfish	33501
groundling	42424
grumpily	38255
guerilla	24399
guestroom	39682
gumball	36405
gunmaker	34674
gunnysack	43236
gunrunner	48657
habitue	41394
habitus	36373
hacendado	49147
haemorrhage	34930
hagiographic	49294
hairlike	41197
hairnet	35986
halfpipe	29591
handpiece	43408
handsomeness	43067
handwash	49428
harbormaster	45467
harridan	45344
hassock	42410
hazily	49624
headwaiter	45764
heartworm	47372
heelpiece	41679
helo	46568
herpetologist	37906
highborn	42044
hightail	30793
hijacked	24730
hindquarter	27864
hitman	29295
hoarfrost	48410
holey	45136
hollowly	38410
homefront	43413
homeplace	46422
homerun	33568
hoofprint	42924
hornworm	47991
horseflesh	47794
horsehide	49706
horseshit	39691
hortatory	45381
horticulturalist	44930
hosta	28258
houri	49847
housecoat	31319
housedress	34050
housepainter	47853
huck	33279
humpbacked	43235
hundredths	36490
hydrops	49960
i'd	2089
i'll	1742
i'm	1127
i've	1531
icemaker	42553
ichthyosaur	47580
ideologist	40375
ie	2698
illusionism	41285
illusionistic	35767
impishly	43726
importune	44982
imprecation	38444
inauthenticity	45366
incantatory	42735
incomer	48746
inconclusively	48931
inconsolably	43168
incorrigibly	49394
incurious	48074
indecorous	49183
indentor	46097
indigenization	45515
indwell	49558
inexpressive	47831
ingenuously	48651
innovatively	46244
instar	49652
instil	13621
intellectualize	38844
interannual	49270
intercommunal	46833
intercorrelation	25320
interorganizational	42373
interpenetrate	40965
interreligious	22801
intersex	46898
intertext	45239
intraparty	39724
intrapersonal	28384
intraspecific	49156
inveigh	33337
iphone	23766
ironist	40590
irredentist	43060
irremediably	46102
irrepressibly	42590
isolette	49967
jackbooted	45219
jalapeno	15482
jammies	43693
jaywalk	42278
jeremiad	39591
johnboat	44067
jounce	36279
journalistically	40288
joviality	46370
jowly	40452
jupyter	40000
jwt	40000
kabbalistic	47982
kaffiyeh	48048
kenosis	47065
kerb	45621
kettledrum	48493
keycard	48758
kike	41068
kilim	48930
kinescope	47441
knickknacks	26704
kolkhoz	48106
kopeck	45966
kubernetes	40000
labourer	37328
lacework	43939
lamplit	46543
landmine	31497
languorously	42053
larcenous	46230
lasciviously	47590
laywoman	44164
legendarily	45474
lentils	16056
levelly	36515
ley	35596
liberatory	47661
lidar	49695
lifelessly	44662
lightheartedly	45869
lightheartedness	49035
lightless	33835
likeable	29090
lionfish	43645
lionize	31113
lipless	42775
lipsticked	45892
lissome	48794
literalness	48201
literariness	49887
liturgist	48991
lobsterman	28176
loden	46417
logocentric	41491
longbeard	44199
longshot	31992
lopsidedly	48474
loveable	40576
lubricious	48419
luminaria	43906
luminously	44645
lumpish	48392
lungful	36763
lunker	39639
luridly	49743
lusterless	46852
mache	37959
madrasa	43206
magnetar	38542
mahout	40067
mala	41370
malapropism	47532
malevolently	45150
manacle	37220
mandoline	45906
manova	22402
marabout	42776
marvellous	34902
masculinization	46975
masculinize	46645
masculinized	49598
masquerader	39651
masticate	49483
mastoidectomy	38225
matrilineage	45053
medevac	39705
megabuck	38037
megachurch	24141
megadose	42425
megaparsec	47107
melodramatically	46868
meltingly	46993
mentee	36300
mestiza	43978
metafiction	33686
metafictional	36856
metalworker	38224
metanarrative	34141
methylmercury	39760
metonym	46811
metonymically	42801
metropole	44563
mewl	40692
mexicano	34341
microcassette	45818
microcontroller	42041
micromachine	48300
mimetically	47377
mineworker	43943
miniaturist	46612
miniaturize	33260
minicam	48712
minidress	36104
minimus	46813
miniscule	28415
mirin	38343
mirthless	39896
misapply	38426
misconceive	42178
misidentify	24298
misimpression	44770
mislay	38277
misname	45612
misperceive	38246
misremember	47582
misreport	38039
modernizer	41166
monarchic	47396
mongodb	40000
monologic	41632
monomaniacal	47712
monosyllable	41350
monstrance	47892
monumentality	37219
moonlet	48671
mortarboard	49279
moue	45512
mountebank	48546
moustache	17030
mouthpart	39325
mudhole	38781
multicenter	40028
multiculturalist	29085
multidimensionality	47402
multileveled	48797
multisensory	33283
multitalented	33300
multivocal	49940
mustiness	46557
muteness	38502
mycologist	44450
mythologize	33998
naivete	17555
nametag	32145
nanomachine	40043
nanoparticle	31818
narcotrafficker	41703
narratorial	38145
nattily	43001
nauseate	22541
neaten	47352
neckpiece	46628
needier	46598
negritude	44984
nettlesome	37487
neurobiologist	36291
neurovascular	46104
newsdesk	47231
newswoman	42873
nginx	40000
nightclothes	42618
nonaggression	37118
nonaggressive	33238
nonathlete	21690
noncanonical	48576
noncommittally	39515
nondairy	35568
nonfigurative	49416
nonhierarchical	39054
nonlinguistic	44860
nonmedical	23867
nonobjective	43901
nonrepresentational	47246
nonscientific	32834
nonsteroidal	31109
nonvisual	45300
oarlock	49543
obsequiousness	49741
obtrude	48989
oddment	47523
oddsmaker	39687
oedema	40418
oestrogen	35705
oldster	36920
oppressiveness	49591
orchardist	44363
orthopaedic	19606
ossicle	43745
ossicular	40837
ossify	41738
ostinato	35357
otherworldliness	48247
otologic	36992
otorrhea	30907
outdistance	37085
outfox	36435
outmatch	43187
outre	41758
outspokenly	49820
outthink	49685
outvote	36894
outwork	39214
overambitious	45212
overanxious	43459
overawe	46377
overbook	41046
overbuild	37898
overconsumption	34481
overdramatize	49228
overdress	33808
overenthusiastic	46231
overexpose	41799
overextension	48899
overgeneralization	43927
overlarge	43312
overpopulate	37474
overprice	43193
overrepresentation	32320
overshoe	49667
overstory	48737
overstuff	30718
overtire	44046
paceline	40165
packinghouse	44254
paediatric	32188
paediatrician	33159
paediatrics	49350
pah	49801
paleoanthropologist	41413
palimony	46913
palpitate	44107
parapharyngeal	41754
parboil	48844
pardner	41986
particularize	40444
partyer	47915
parvenu	46245
passe	21688
pasteurize	37380
patency	44612
paterfamilias	45092
patrilineage	45738
patronizingly	43211
payphone	34897
peccadillo	44574
pectoralis	44986
pederast	49157
peevishly	39340
peoplehood	41412
peregrination	41991
perfectionistic	39309
performativity	44628
perilymph	48577
perioperative	38217
peritonsillar	49273
perjurer	49269
personalism	41646
personalistic	42954
phallocentric	49402
phenomenologist	44690
philistinism	45757
philosophe	42405
photonic	31095
physiognomic	44657
physis	49697
phytonutrient	44686
pickax	36645
picketer	38227
picnicker	41221
pilings	19783
pillowy	40886
pinata	31765
pinon	32489
pinscher	45060
pissant	48215
plainclothesman	46494
planeload	34761
plangent	48179
plantlet	46114
plantsman	49980
plaudit	32803
playgoer	46410
plesiosaur	49454
plotline	36844
plutocrat	39267
pneumatology	39919
pockmark	27824
podiatric	41520
podophilia	40000
politesse	45524
pollinating	37053
portentously	43436
possessively	44798
postauricular	48308
postfeminist	49802
postgresql	40000
posthole	39026
postsecondary	13328
postsurgical	37861
postulant	47435
potpie	49694
potsherd	36723
powertrain	30091
practising	48003
pratfall	34747
precis	44552
preconquest	47992
precook	40825
predecease	49924
predella	49174
preexist	22080
preexistent	45957
pregame	16540
preliterate	46688
premade	35455
preordain	34980
prerecord	46516
presciently	41383
presumptively	36834
pretence	44236
prevaricate	47530
primatologist	35360
profiterole	49869
progressivity	47217
proletarianization	49569
prosaically	49678
proselytizer	39660
protegee	44152
prurience	46075
pseudoephedrine	40260
psychoanalyze	40233
psychometrically	35211
publically	46556
pugnacity	47974
punky	40188
purism	45337
purloin	43078
purpura	45825
putrefy	46869
puzzlingly	48036
pytest	40000
quadruplet	40563
qubit	27925
quin	48547
quintuplet	39572
racecar	32062
racialized	32784
raggedly	39868
raku	42922
ramify	46264
ranchette	46345
randomised	27368
raptly	40031
rarefy	40076
rathole	46986
rattletrap	45836
rawboned	37203
readerly	44911
reaganite	34318
reassume	45408
rebalancing	49758
rebbe	41944
rebury	32881
rechristen	37444
recolonize	45046
redis	40000
reformulated	28402
refusenik	44608
reinstitution	49675
reintroduced	48614
rejigger	46098
relationality	45657
relativize	35311
relaxer	40792
remold	42476
renewables	21430
renovator	46087
repossession	43546
reputational	39406
resect	40972
resegregation	47716
restage	38453
restiveness	44769
retropharyngeal	44019
revealingly	40834
reveler	19586
revivify	42997
revote	47013
rhapsodize	31691
rheumy	42758
rictus	41711
riderless	41191
ridgeline	24559
ridgetop	30286
riflery	47046
rightfield	46797
rima	49408
rioter	22779
risque	27317
riverway	49803
romanticization	47440
roo	37509
roomie	40861
rootlessness	45596
rototiller	48387
roughhouse	49081
roust	31163
routinization	49238
rowhouse	37810
ruched	45701
ruminative	46511
runnel	39756
runty	46429
sabre	33818
sackful	48154
safehouse	37583
saleable	43125
salesclerk	36481
salesroom	43051
saltshaker	43782
salvager	47244
sandaled	49254
saucepot	35289
sauted	36419
savour	48285
savvier	49387
scallions	13340
scandalize	24227
scarify	49989
sceptical	44238
scepticism	45410
schlemiel	48311
scholastics	37621
schoolbus	48993
schoolmarm	39913
scofflaw	34594
scutum	46317
seatmate	37723
seatwork	48747
secretively	45342
secularize	30692
seedpod	43276
semitropical	42435
sensualist	46436
sentimentalize	41287
septuplet	37213
sermonize	45128
servicewoman	42485
sextuplet	41309
sexualization	46963
sexualize	36027
shabbiness	42818
sheathe	19713
sheepherder	35345
sheerly	49071
sheikdom	49249
shellfire	46029
shew	37086
shirtfront	44336
shirtless	21696
shirtsleeve	23350
shootaround	39672
shotshell	44285
shovelful	37306
showerhead	31720
shrimper	27833
sidecut	31369
sidehill	45795
signorina	46904
sinuously	43074
sippy	42639
sizeable	18869
skank	45622
skanky	45153
skilful	49913
skittishness	40949
skivvy	36789
skylit	48725
slipcovered	43613
slitted	43453
sloganeer	47879
slumlord	43710
smeary	47067
smidge	45597
smolt	41071
smoulder	49995
smouldering	46336
smudgy	38074
snorer	41950
snorkeler	41831
snowless	48259
snuffle	28514
sociobiologist	47404
sociodemographic	23321
socioemotional	42813
sociometric	31657
solicitously	40171
solomonic	48638
somewheres	36787
soteriological	37765
souffle	19143
soundman	42652
soundstage	31537
souse	48242
southside	28069
soymilk	34371
spaceplane	44073
spacewalker	45397
sparely	48530
spastically	49259
speakership	36607
spectre	29565
spiralling	49536
splintery	39588
sportfisherman	45216
spotlit	44617
springwater	45876
spume	40561
squinch	40589
staghorn	49192
stagy	47539
standardised	45215
stapedotomy	43663
starfighter	45676
steepen	37483
stela	42894
sternocleidomastoid	47391
stewpot	47768
stingiest	46513
stonily	41992
strappy	34675
streambed	27176
streetlamp	24389
streetscape	33759
stridency	43910
strikebreaker	47371
striver	39596
struggler	48858
stubbled	42315
stubbly	39091
stultify	35326
stupefy	28443
stutterer	42249
subgenre	35171
submaximal	38777
submillimeter	46837
subnational	29720
suborn	45166
subscale	6437
subtheme	37000
sullenness	45094
summiteer	48581
sunbather	33816
sunchoke	48590
sundeck	41791
suntanned	43757
supercede	35454
superfood	49064
supermax	39930
superrich	45232
supersensitive	41676
suppurate	46001
supraglottic	45918
surliness	45373
surpassingly	49227
surreally	49817
swaybacked	48940
sweetmeat	47003
sybaritic	39519
syncopate	43868
syntagmatic	49888
tactility	41761
tallgrass	33924
tapenade	37166
tarpaper	45914
taskbar	35463
tastebud	44125
tastemaker	40831
tautness	46060
teacherly	49229
teetotaler	37559
tellin	24439
temporize	42136
tentativeness	37492
tenuousness	49571
tercet	45259
theatergoer	29621
thematics	39850
thickset	41346
thimbleful	49388
thirdhand	44653
thirtyish	47340
thirtysomething	36985
thornbush	49555
thousandths	40611
thriftiness	48445
thrip	36904
thundershower	47417
til	14738
tines	23205
tink	47599
toepiece	39182
tolerantly	46503
toneless	43753
tonelessly	45396
tonier	49281
toniest	48125
topo	22952
topos	43816
totalize	35533
tousle	26819
townhome	29889
towny	47009
trainload	40072
tranquilize	34833
transboundary	25798
transfigure	31496
transfix	14308
transhistorical	43829
transmogrify	37769
trapline	45228
treelike	44370
treeline	27618
tricorder	37233
trippy	36218
trommel	41978
trotline	49432
truckstop	48279
tunelessly	49861
tuxedoed	41539
twentysomething	27290
twilit	41945
tympanoplasty	42955
ululate	42740
ummm	39129
unamused	45030
unbend	31314
unblinkingly	43800
unbolt	48458
unbothered	45868
uncap	45146
uncarpeted	49440
unchaperoned	48975
unchosen	48391
unclench	31899
uncoil	34173
uncombed	35340
unconventionality	46414
uncurl	32491
uncurtained	48406
underactive	43247
underappreciated	24117
underbid	47219
underlayer	49113
underpainting	21105
underpopulated	48492
underprice	47017
underthings	44427
undramatic	44906
undulant	43774
unembarrassed	42952
unfavourable	46203
unfeminine	44000
unfetter	34609
unflavored	38621
unfortunates	37731
ungroomed	47753
unhealed	43687
unheroic	45279
unhinge	23981
unhitch	35634
unhurriedly	39434
unilinear	49529
unimposing	46251
uninflected	44191
universalize	34374
universalized	43615
unknot	49108
unlace	35437
unladylike	43066
unlamented	48663
unmanaged	42062
unnameable	46046
unpeopled	46363
unpracticed	48237
unrealizable	47638
unreel	43855
unrepaired	44486
unsalvageable	49542
unsay	25606
unsayable	47177
unscarred	49674
unshed	44815
unstrap	44853
unstuffed	48793
untethered	33422
untucked	32946
unwatchable	45137
unworried	45530
unwrinkled	45320
upthrust	47134
urbanize	34176
vee	30631
vengefulness	48578
victimizer	36504
videocam	47901
videocamera	38402
vittles	43232
vivify	43769
volcanologist	39542
voluptuously	47771
wagonload	46572
waiflike	47167
warningly	46901
watercooler	34420
waterfowler	35639
waterlog	48553
wavefunction	31802
webby	48510
websocket	40000
westernize	44749
wetback	36732
wheatfield	43347
wheelset	43191
whiplike	47872
whipsaw	39619
whup	38049
wildcatter	37806
wildland	24726
wimple	48900
wineskin	44989
wiseacre	47769
wiseass	43948
wiseguy	32335
wolfman	46541
woodenly	47420
woodstove	25246
wop	39437
workaholism	40255
worrywart	49054
wreathe	26498
yammer	37177
zonk	49039
