pinyin_key	candidate
baizhuo	nebulous urine
baizhuo	whitish and turbid urine
baizi	semen biotae
baiziren	platycladi semen
baiziren	semen biotae shelled
baiziren	semen boitae
baiziren	semen platycladi
baizireng	platycladi semen
baizireng	semen biotae shelled
baizireng	semen boitae
baizireng	semen platycladi
baizuo	nebulous urine
baizuo	whitish and turbid urine
bangliushuihua	prostitute
bangliusuihua	prostitute
bangniusuihua	prostitute
bankaimen	fig. prostitute
bankaimeng	fig. prostitute
banli	semen castaneae mollissimae
banluo	half naked
banluo	semi-naked
banluoti	half-naked
banni	semen castaneae mollissimae
bannuo	half naked
bannuo	semi-naked
bannuoti	half-naked
bantiao	bar strip
baobanpi	bar strip
baochu	strip out
baocu	strip out
baohuqu	defensive strip
baojiangleijingzizhushe	intracytoplasmic sperm injections
baojiangneijingzhizhushe	intracytoplasmic sperm injections
baojiangneijingzizhuse	intracytoplasmic sperm injections
baojiangneijingzizhushe	intracytoplasmic sperm injections
baojiangneijingzizushe	intracytoplasmic sperm injections
baojiangneijinzizhushe	intracytoplasmic sperm injections
baomuyuan	advertisers
baopian	thin strip
baotuo	strip
baoxie	sudden diarrhea
baoye	(esp.) to book a prostitute for the night
bawangyingsanggong	rape
bawangyingsanggong	to rape
bawangyingshanggong	rape
bawangyingshanggong	to rape
bawangyinshanggong	rape
bawangyinshanggong	to rape
bawuqianliu	to strip of everything
bawuqianniu	to strip of everything
bbdk	strip
bbdk	to strip, tie up, hang and beat sb, an ancient torture technique
bbp	bar strip
bcxyc	turnip type rape
bd	strip
beiqiangguang	strip to the skin
beiqinchengshi	fuck me
beiqinchengshi	fuck-me
beiqingcengshi	fuck me
beiqingcengshi	fuck-me
beiqingchengshi	fuck me
beiqingchengshi	fuck-me
beiqingchengsi	fuck me
beiqingchengsi	fuck-me
beiqingchenshi	fuck me
beiqingchenshi	fuck-me
beizhisha	a death claimed to be a suicide by the authorities
beizhisha	suicide
beizisa	a death claimed to be a suicide by the authorities
beizisa	suicide
beizisha	a death claimed to be a suicide by the authorities
beizisha	suicide
benbadiaokao	strip
benbadiaokao	to strip, tie up, hang and beat sb, an ancient torture technique
bengbadiaokao	strip
bengbadiaokao	to strip, tie up, hang and beat sb, an ancient torture technique
bhq	defensive strip
bhys	bum-fuck nowhere
bian	penis
biandou	semen lablab
bianjiedidai	boundary strip
bianliao	urine and feces
bianmaochongxinfuxie	flagellate diarrhea
bianmaochongxingfuxie	flagellate diarrhea
bianmaocongxingfuxie	flagellate diarrhea
bianniao	urine and feces
bianpi	strip breakdown
bianshun	prostitute
biansun	prostitute
biantie	strap strip iron
biao	prostitute
biaotilan	title strip
biaotinan	title strip
biaozi	prostitute
biaozi	whore
bie	to hold in (urine)
bijian	rape
bijian	to rape
bimazhi	ricini semen
bimazhi	semen ricini
bimazi	ricini semen
bimazi	semen ricini
binglang	arecae semen
binglang	semen arecae
bingnang	arecae semen
bingnang	semen arecae
binlang	arecae semen
binlang	semen arecae
biyuntao	contraceptive condom
bizhu	pilaster strip
bizhui	shut the fuck up
bizu	pilaster strip
bizui	shut the fuck up
bjdd	boundary strip
bjnjzzs	intracytoplasmic sperm injections
bkm	fig. prostitute
bl	strip
blgz	semen herpetospermi
blsh	prostitute
blt	half-naked
bmcxfx	flagellate diarrhea
bodiao	strip of
bodiao	to strip off
boduo	strip
boduo	strip of
boduo	to strip (sb of his property)
boguang	strip naked
boli	strip
boli	to strip
bolidai	glass strip
boni	strip
boni	to strip
bonidai	glass strip
bopiji	strip machine
boqu	strip
boqu	strip away
boqu	strip of
boxialai	strip sth off
boxianai	strip sth off
bpj	strip machine
bq	erection
bqcs	fuck me
bqcs	fuck-me
bqg	strip to the skin
bszhz	oculo-oral-genital syndrome
btl	title strip
btr	semen amygdalae
buguzhi	semen psoraleae
buguzi	semen psoraleae
buhaoyishi	bum-fuck nowhere
buhaoyisi	bum-fuck nowhere
bwqn	to strip of everything
bwysg	rape
bwysg	to rape
bxl	strip sth off
byt	contraceptive condom
bzs	a death claimed to be a suicide by the authorities
bzs	suicide
caibuyao	fuck no
caicu	strip
caidou	semen phaseoli vulgaris
caifeng	strip
caihua	to enter houses at night in order to rape women
caikai	strip down
caikai	strip-down
caikai	strip-downs
caiyou	rape oil
caiyou	rape oils
caiyou	rape-oil
caiyou	ravison rape oil
caizhibing	rape cake
caizhiyou	rape seed oil
caizhiyou	rape-seed oil
caizhiyou	ravision rape oil
caizibin	rape cake
caizibing	rape cake
caiziyou	rape seed oil
caiziyou	rape-seed oil
caiziyou	ravision rape oil
candou	semen et flos viciae fabae
candou	semen viciae fabae
cangfu	prostitute
cangji	prostitute
cangji	whore
cangjie	the strip
cangnv	prostitute
cangsan	(old) high-class prostitute
cangtiao	strip
canyuliao	residual urine
canyuniao	residual urine
cao	fuck
cao	to fuck (vulgar)
caobi	to fuck (a woman) (vulgar)
caodan	fuck! (vulgar)
caodoukou	alpiniae katsumadai semen
caodoukou	semen alpiniae katsumadai
caolima	fuck your mother (vulgar)
caonima	fuck your mother (vulgar)
caxianban	power strip
cby	fuck no
cdh	strip cartridge
cdk	alpiniae katsumadai semen
cdk	semen alpiniae
cdk	semen alpiniae katsumadai
cdy	opium eating
cdy	opium smoking
cemen	suicide door
cenban	backing strip
cenban	laminated strip
cendian	bearing strip
cengban	laminated strip
cengrenpindao	picasso porn
ceqiancao	semen plantaginis
ceqianzi	semen plantaginis
ceqianzi	semen psyllii
cfz	semen raphani
chai	bridge erection tolerance
chaibuyao	fuck no
chaichu	strip
chaidou	semen phaseoli vulgaris
chaifen	strip
chaifeng	strip
chaihua	to enter houses at night in order to rape women
chaikai	strip down
chaikai	strip-down
chaikai	strip-downs
chaiyou	rape oil
chaiyou	rape oils
chaiyou	rape-oil
chaiyou	ravison rape oil
chaizibing	rape cake
chaiziyou	rape seed oil
chaiziyou	rape-seed oil
chaiziyou	ravision rape oil
chang	prostitute
changfu	prostitute
changji	prostitute
changji	whore
changjie	the strip
changlv	prostitute
changnu	prostitute
changnv	prostitute
changsan	(old) high-class prostitute
changshan	(old) high-class prostitute
changtiao	strip
chanyuniao	residual urine
chaobi	to fuck (a woman) (vulgar)
chaodan	fuck! (vulgar)
chaodoukou	alpiniae katsumadai semen
chaodoukou	semen alpiniae katsumadai
chaonima	fuck your mother (vulgar)
chaxianban	power strip
chemen	suicide door
chemeng	suicide door
chenban	backing strip
chendian	bearing strip
chengban	backing strip
chengban	laminated strip
chengdian	bearing strip
chengrengpindao	picasso porn
chengrenpindao	picasso porn
chengrenpingdao	picasso porn
chenrenpindao	picasso porn
cheqiancao	semen plantaginis
cheqianchao	semen plantaginis
cheqianzhi	semen plantaginis
cheqianzhi	semen psyllii
cheqianzi	semen plantaginis
cheqianzi	semen psyllii
chi	naked
chibaili	carneous diarrhea
chibaini	carneous diarrhea
chidaihe	strip cartridge
chidou	semen phaseoli angplaris
chidou	semen vignae angularis
chiduo	to strip of
chiluo	get naked
chiluo	naked
chiluodewucan	naked lunch
chiluodewuchan	naked lunch
chiluoluo	naked
chiluoluode	bollock naked
chiluoluode	buck naked
chiluoluode	in the nude
chinuo	get naked
chinuo	naked
chinuodewucan	naked lunch
chinuonuo	naked
chinuonuode	bollock naked
chinuonuode	buck naked
chinuonuode	in the nude
chisen	naked
chisenluoti	as naked as i was born
chisenluoti	as naked as i was my mother bore me
chisenluoti	as naked as the day i was born
chisenluoti	naked as i was born
chisenluoti	naked as i was my mother bore me
chisenluoti	naked as the day i was born
chisenluoti	naked as the day i was my mother bore me
chisenluti	as naked as my mother bore me
chisenluti	completely naked
chisenluti	naked as my mother bore me
chisenluti	stark naked
chishen	naked
chisheng	naked
chishengluoti	as naked as i was born
chishengluoti	as naked as i was my mother bore me
chishengluoti	as naked as the day i was born
chishengluoti	naked as i was born
chishengluoti	naked as i was my mother bore me
chishengluoti	naked as the day i was born
chishengluoti	naked as the day i was my mother bore me
chishengluti	as naked as my mother bore me
chishengluti	completely naked
chishengluti	naked as my mother bore me
chishengluti	stark naked
chishenluoti	as naked as i was born
chishenluoti	as naked as i was my mother bore me
chishenluoti	as naked as the day i was born
chishenluoti	naked as i was born
chishenluoti	naked as i was my mother bore me
chishenluoti	naked as the day i was born
chishenluoti	naked as the day i was my mother bore me
chishenluti	as naked as my mother bore me
chishenluti	completely naked
chishenluti	naked as my mother bore me
chishenluti	stark naked
chishennuoti	as naked as i was born
chishennuoti	as naked as i was my mother bore me
chishennuoti	as naked as the day i was born
chishennuoti	naked as i was born
chishennuoti	naked as i was my mother bore me
chishennuoti	naked as the day i was born
chishennuoti	naked as the day i was my mother bore me
chishennuti	as naked as my mother bore me
chishennuti	completely naked
chishennuti	naked as my mother bore me
chishennuti	stark naked
chisi	to commit suicide on the orders of a sovereign (old)
chitiao	magnet strip
chitiao	magnetic strip
chitiaokapian	magnetic strip card
chitiaotiao	as naked as when one was born
chitiaotiao	stark naked
chixiaodou	phaseoli semen
chixiaodou	semen phaseoli
chixiaodou	semen vignae umbellatae
chongliang	(of a prostitute) to marry and leave one's trade
chongxingzuzhuang	re-erection
chongxinzhuzhuang	re-erection
chongxinzuzhuang	re-erection
choudayan	opium eating
choudayan	opium smoking
chuji	underage prostitute
chumairouti	prostitute
chunfu	prostitute
chunsibugua	be stark naked
chunyoucai	spring rape
chunyouchai	spring rape
chuo	fuck
chuo	to fuck (vulgar)
chuqu	strip
chushidai	initial strip
chusidai	initial strip
chusuanzhitiaopian	acetate strip
chuyutongqin	mercy fuck
chuyutongqing	mercy fuck
chuzhong	(of a prostitute) to do an outcall
chuzong	(of a prostitute) to do an outcall
cibaili	carneous diarrhea
cidaihe	strip cartridge
cidou	semen phaseoli angplaris
cidou	semen vignae angularis
ciduo	to strip of
ciluo	get naked
ciluo	naked
ciluodewucan	naked lunch
ciluoluo	naked
ciluoluode	bollock naked
ciluoluode	buck naked
ciluoluode	in the nude
cishen	naked
cishenluoti	as naked as i was born
cishenluoti	as naked as i was my mother bore me
cishenluoti	as naked as the day i was born
cishenluoti	naked as i was born
cishenluoti	naked as i was my mother bore me
cishenluoti	naked as the day i was born
cishenluoti	naked as the day i was my mother bore me
cishenluti	as naked as my mother bore me
cishenluti	completely naked
cishenluti	naked as my mother bore me
cishenluti	stark naked
cishi	to commit suicide on the orders of a sovereign (old)
cisi	to commit suicide on the orders of a sovereign (old)
citiao	magnet strip
citiao	magnetic strip
citiaokapian	magnetic strip card
citiaotiao	as naked as when one was born
citiaotiao	stark naked
cixiaodou	phaseoli semen
cixiaodou	semen phaseoli
cixiaodou	semen vignae umbellatae
cjm	semen cassiae torae
cl	naked
cldwc	naked lunch
cll	naked
clld	bollock naked
clld	buck naked
clld	in the nude
cmrt	prostitute
cn	prostitute
cnm	fuck your mother (vulgar)
congliang	(of a prostitute) to marry and leave one's trade
congniang	(of a prostitute) to marry and leave one's trade
congxinzuzhuang	re-erection
coudayan	opium eating
coudayan	opium smoking
couhua	deform
couhua	deforming
couhua	deforms
cqc	semen plantaginis
cqz	plantaginis semen
cqz	semen plantaginis
cqz	semen psyllii
crpd	picasso porn
csbg	be stark naked
cslt	as naked as i was born
cslt	as naked as i was my mother bore me
cslt	as naked as my mother bore me
cslt	as naked as the day i was born
cslt	completely naked
cslt	naked as i was born
cslt	naked as i was my mother bore me
cslt	naked as my mother bore me
cslt	naked as the day i was born
cslt	naked as the day i was my mother bore me
cslt	stark naked
csztp	acetate strip
ct	strip
ctkp	magnetic strip card
ctt	as naked as when one was born
ctt	stark naked
cuji	underage prostitute
cumairouti	prostitute
cunfu	prostitute
cunshibugua	be stark naked
cunsibugua	be stark naked
cunyoucai	spring rape
cuqu	strip
cushidai	initial strip
cushuanzhitiaopian	acetate strip
cusuanzhitiaopian	acetate strip
cusuanzitiaopian	acetate strip
cuyutongqing	mercy fuck
cuzhong	(of a prostitute) to do an outcall
cxb	power strip
cxzz	re-erection
cyc	spring rape
cyn	residual urine
cytq	mercy fuck
czb	rape cake
czy	rape seed oil
czy	rape-seed oil
dabian	feces
dabianhuatuo	incontinence of feces
dabianshijin	incontinence of the feces
dabianshijing	incontinence of the feces
dabiansijin	incontinence of the feces
dabianzaojie	dry feces
dabianzhaojie	dry feces
dachibo	strip to the waist
dachuo	fuck-off
dachuo	fuck-ups
dacibo	strip to the waist
dacuo	fuck-off
dacuo	fuck-ups
dafengzhi	semen chaulmoograe
dafengzhi	semen hydnocarpi
dafengzhi	semen hydnocarpi anthemintici
dafengzi	semen chaulmoograe
dafengzi	semen hydnocarpi
dafengzi	semen hydnocarpi anthemintici
dafenzi	semen chaulmoograe
dafenzi	semen hydnocarpi
dafenzi	semen hydnocarpi anthemintici
dagong	feces
daguan	instrument of torture used to break limbs
dagukoupaotai	Taku Forts, maritime defense works in Tianjin dating back to the Ming dynasty, playing a prominent role during the Opium Wars (1839-1860)
dagupaotai	Taku Forts, maritime defense works in Tianjin dating back to the Ming dynasty, playing a prominent role during the Opium Wars (1839-1860)
daicai	strip steel rolled stock
daichai	strip steel rolled stock
daigang	sheet strip
daigang	strip steel
daixingquyu	strip region
daixinquyu	strip region
daizhoule	strip sth away
daizhoule	strip sth out
daizhuangde	strip shaped
daizhuangtu	strip-chart
daizhuangxian	strip line
daizhuangzaipei	strip croppings
daizhuangzaipei	strip-farming
daizhuangzaipei	strip-farmings
daizhuangzengdi	strip soil preparation
daizhuangzengdi	strip tillage
daizhuangzhaipei	strip croppings
daizhuangzhaipei	strip-farming
daizhuangzhaipei	strip-farmings
daizhuangzhendi	strip soil preparation
daizhuangzhendi	strip tillage
daizhuangzhengdi	strip soil preparation
daizhuangzhengdi	strip tillage
daizoule	strip sth away
daizoule	strip sth out
daizoune	strip sth away
daizoune	strip sth out
dajiangji	strip engine
dajiaxie	dysenteric diarrhea
damaimi	naked barley
dangfu	prostitute
dangranmeiyou	fuck no
danjieshi	gallivanting
daodan	cham
daodou	semen canavaliae
daogui	guide strip
daogui	guiding strip
daoguodongzhuopian	euphemism for Japanese porn movie
daoguodongzuopian	euphemism for Japanese porn movie
daojudinghuo	ancient instruments of torture
daojudinghuo	fig. torture
daojufuyue	knife, saw, ax and hatchet (idiom); facing torture and execution
daoliao	urine catheterization
daoniao	urine catheterization
datiexian	bonding strip
daxiaobianshijin	incontinence of urine and feces
daxiaobianshijing	incontinence of urine and feces
daxiaobiansijin	incontinence of urine and feces
dayan	opium
dayangui	opium addict
db	feces
dbht	incontinence of feces
dbsj	incontinence of the feces
dbzj	dry feces
dcb	strip to the waist
denchuan	strip lighting
dengchuan	strip lighting
dengcuan	strip lighting
dengguan	strip lamp
denguan	strip lamp
df	prostitute
dgdzp	euphemism for Japanese porn movie
dggp	electrical strip
dgkpt	Taku Forts, maritime defense works in Tianjin dating back to the Ming dynasty, playing a prominent role during the Opium Wars (1839-1860)
dgpt	Taku Forts, maritime defense works in Tianjin dating back to the Ming dynasty, playing a prominent role during the Opium Wars (1839-1860)
dgz	benincasae semen
dgz	semen benincasae
dianban	back-up strip
dianban	backing strip
dianban	backing up strip
dianban	backingup strip
dianban	chill strip
diangonggangpian	electrical strip
dianjuan	sponge rubber strip
dianpian	drive strip
dianpian	filler strip
dianpian	spacer strip
dianquan	sponge rubber strip
dianreshi	heater strip
dianresi	heater strip
dianxing	to torture sb using electricity
dianyingjiaopian	film strip
dianyinjiaopian	film strip
dianyuanban	power strip
diao	fuck
diao	penis
diaodai	hanging strip
diaohuan	erection loop
diaozhuang	hoisting and erection
dingden	strip-light lamp
dingdeng	strip-light lamp
dixuejia	watery diarrhea
djdh	ancient instruments of torture
djdh	fig. torture
djfy	knife, saw, ax and hatchet (idiom); facing torture and execution
djj	strip engine
dls	Durex, a condom brand name
dmm	naked barley
dmr	semen cannabis
dongti	naked body
dongxie	lienteric diarrhea (TCM)
douke	semen cajani
drmy	fuck no
drs	heater strip
dtq	abortion right
dtq	abortion-right
dtq	abortion-rights
dtx	bonding strip
duanjian	suicide
duanyu	eyelid
duanzhiban	terminal strip
duanziban	terminal strip
dubiandou	semen physostigmatis
duizhi	butt-rape
duizi	butt-rape
duotai	abortion
duotai	back-alley abortion
duotai	elective abortion
duotai	pro-abortion
duotai	procuring an abortion
duxingangdai	galvanized steel strip
duxinggangdai	galvanized steel strip
dxbsj	incontinence of urine and feces
dxgd	galvanized steel strip
dxj	watery diarrhea
dxqy	strip region
dyb	power strip
dyg	opium addict
dyjp	film strip
dzd	strip shaped
dzt	strip-chart
dzx	strip line
dzzd	strip soil preparation
dzzd	strip tillage
dzzp	strip croppings
dzzp	strip-farming
dzzp	strip-farmings
erhuan	lyre
ertongseqin	child porn
ertongseqin	child-porn
ertongseqing	child porn
ertongseqing	child-porn
ertongsheqing	child porn
ertongsheqing	child-porn
etsq	child porn
etsq	child-porn
fake	fuck
fake	fuck (loanword)
fanchuiqu	strip extraction
fanchuiqu	strip-extraction
fancuiqu	strip extraction
fancuiqu	strip-extraction
fandu	opium trade
fanghuatiao	antislip strip
fanghulindai	wind forest strip
fanghulingdai	wind forest strip
fanghunindai	wind forest strip
fangkai	get the fuck
fankuxingzemogongyue	UN convention against torture and cruel treatment (ratified by PRC in 1988)
fankuxingzhemogongyue	UN convention against torture and cruel treatment (ratified by PRC in 1988)
fankuxinzhemogongyue	UN convention against torture and cruel treatment (ratified by PRC in 1988)
fanqiangjianzhui	commit rape
fanqiangjianzhui	rape
fanqiangjianzui	commit rape
fanqiangjianzui	rape
fanseqin	anti porn
fanseqin	anti-porn
fanseqing	anti porn
fanseqing	anti-porn
fansheqing	anti porn
fansheqing	anti-porn
fb	feces
fbjc	feces examination
fcq	strip extraction
fcq	strip-extraction
feiganranxinfuxie	noninfectious diarrhea
feiganranxingfuxie	noninfectious diarrhea
feizi	semen torreyae
feizi	torreyae semen
fenbian	feces
fenbianjianca	feces examination
fenbianjiancha	feces examination
fengbian	feces
fengbianjiancha	feces examination
fengedai	demarcation strip
fengedai	dividing strip
fengedai	separation strip
fenggedai	demarcation strip
fenggedai	dividing strip
fenggedai	separation strip
fengkoujiao	base strip
fengtiao	guarantee strip
fengtou	prostitute
fengtou	prostitute (old)
fenkoujiao	base strip
fentiao	guarantee strip
fentou	prostitute
fentou	prostitute (old)
ffgchj	compound opium and glycyrrhiza mixture
fgd	demarcation strip
fgd	dividing strip
fgd	separation strip
fgrxfx	noninfectious diarrhea
fhld	wind forest strip
fht	antislip strip
fk	fuck
fkj	base strip
fkxzmgy	UN convention against torture and cruel treatment (ratified by PRC in 1988)
fqjz	commit rape
fqjz	rape
fsq	anti porn
fsq	anti-porn
ft	prostitute
fufanggancaoheji	compound opium and glycyrrhiza mixture
fufangganchaoheji	compound opium and glycyrrhiza mixture
fuxie	diarrhea
fuyuetanghuo	battle-ax and boiling cauldron (idiom); facing torture and execution
fuzhijiqiao	vagina musculi recti abdodminis
fuzijiqiao	vagina musculi recti abdodminis
fx	diarrhea
fyth	battle-ax and boiling cauldron (idiom); facing torture and execution
fzjq	vagina musculi recti abdodminis
gaiban	covering strip
gangdai	steel strip
gangjuan	coil of strip
ganguangpian	sensitometric strip
ganjiliangxie	malnutritional diarrhea
ganjiniangxie	malnutritional diarrhea
ganlanhe	semen canarii album
ganlanxingyoucai	cabbage type rape
ganlanxingyoucai	swede type rape
ganlanxingyouchai	cabbage type rape
ganlanxingyouchai	swede type rape
ganlanxinyoucai	cabbage type rape
ganlanxinyoucai	swede type rape
gannanhe	semen canarii album
gannanxingyoucai	cabbage type rape
gannanxingyoucai	swede type rape
ganranxinfuxie	infectious diarrhea
ganranxinfuxie	infective diarrhea
ganranxingfuxie	infectious diarrhea
ganranxingfuxie	infective diarrhea
ganshidui	suicide squad
gansidui	suicide squad
gao	testicle
gaocao	an orgasm
gaocao	orgasm
gaocao	screaming orgasm
gaochao	an orgasm
gaochao	screaming orgasm
gaohuai	fuck ups
gaowan	testicle
gaowanai	cancer of testicle
gaowanfayubuquan	testicle hyperplasy
gaowanfayubuquan	testicle insuffiency
gaowanjiehe	testicle tuberculosis
gaowanjishu	testicle hormone
gaowanjisu	testicle hormone
gaowanlangzhong	testicle cyst
gaowanliuzhuan	torsion of testicle
gaowannangzhong	testicle cyst
gaowannangzong	testicle cyst
gaowanniuzhuan	torsion of testicle
gaowanniuzuan	torsion of testicle
gaowanweijiang	retained testicle
gaowanweijiang	undesceaded testicle
gaowanweijiang	undescended testicle
gaowanzhongda	testicle swelling
gaowanzhongliu	testicle tumor
gaowanzhongliu	tumor of testicle
gaowanzhongniu	testicle tumor
gaowanzhongniu	tumor of testicle
gaowanzongda	testicle swelling
gaowanzongliu	testicle tumor
gaowanzongliu	tumor of testicle
gaoza	fuck it up
gaozao	fuck ups
gaozha	fuck it up
gaozhao	fuck ups
gbz	strip to the waist
gc	orgasm
gdz	Fuck off!
gechu	genital mutilation
gecu	genital mutilation
geli	genital mutilation
gelidai	isolation strip
geng	strip of high ground
gengzhi	strip of high ground
gengzi	strip of high ground
genidai	isolation strip
genzi	strip of high ground
gequmincheng	fuck you bitch
gequmingceng	fuck you bitch
gequmingchen	fuck you bitch
gequmingcheng	fuck you bitch
gg	naked
ggp	sensitometric strip
ggy	suicide tourism
gjnx	malnutritional diarrhea
glj	strip feed mill
glj	strip feeder
glxyc	cabbage type rape
glxyc	swede type rape
gongcang	public prostitute
gongchang	public prostitute
gongliaoji	strip feed mill
gongliaoji	strip feeder
gongniaoji	strip feed mill
gongniaoji	strip feeder
gpg	butt naked
gpg	butt-naked
gqmc	fuck you bitch
grxfx	infectious diarrhea
grxfx	infective diarrhea
gsd	suicide squad
gtn	fuck that shit
guadai	clip strip
gualou	fructus et semen trichosanthis kirilowii
gualouzhi	semen trichosanthis kirilowii
gualouzi	semen trichosanthis kirilowii
guangbangzhi	strip to the waist
guangbangzi	strip to the waist
guangdai	light strip
guangdai	strip lighting
guangguang	naked
guangpigu	butt naked
guangpigu	butt-naked
guangtiao	optical strip
guanguangye	suicide tourism
guangze	naked
guangzhe	naked
guanou	fructus et semen trichosanthis kirilowii
guanouzi	semen trichosanthis kirilowii
guantale	fuck that shit
guantane	fuck that shit
guihun	fuck
guitou	caput penis
guitou	head of penis
guitou	plans penis
gundan	fuck off
gunduzhi	Fuck off!
gunduzi	Fuck off!
gunkai	fuck away
gunkai	fuck off (rude)
guojiao	long strip of cloth used for foot-binding
guozhong	to fuck someone
guozong	to fuck someone
gw	testicle
gwa	cancer of testicle
gwfybq	testicle hyperplasy
gwfybq	testicle insuffiency
gwjh	testicle tuberculosis
gwjs	testicle hormone
gwnz	testicle cyst
gwnz	torsion of testicle
gwr	semen trichosanthis
gwwj	retained testicle
gwwj	undesceaded testicle
gwwj	undescended testicle
gwzd	testicle swelling
gwzl	testicle tumor
gwzl	tumor of testicle
gxt	genital hamule
gxt	genital hook
hahaer	suicide
haigousen	ursine seal's penis and teste
haigoushen	ursine seal's penis and teste
haigousheng	ursine seal's penis and teste
haihongdou	semen adenantherae pavoninae
haimianti	erectile tissue (genital)
hangxian	navigation strip
hangxiantu	strip plot
hangyang	torture instrument
hangyangdaoju	torture instrument
hantiao	solder strip
haobuzaihu	not care a tinker's fuck
haobuzaihu	not give a tinker's fuck
haobuzhaihu	not care a tinker's fuck
haobuzhaihu	not give a tinker's fuck
hbk	chinese naked oat fruit
hbzh	not care a tinker's fuck
hbzh	not give a tinker's fuck
hddxy	the Emperor's new clothes (i.e. naked)
hebengke	chinese naked oat fruit
hebenke	chinese naked oat fruit
hegou	narrow strip of water
heizhima	semen sesami
heizhima	semen sesami nigri
heizhima	semen sesami nigrum
heizhima	sesami semen nigrum
heizima	semen sesami
heizima	semen sesami nigri
heizima	semen sesami nigrum
heizima	sesami semen nigrum
hengtiao	horizontal strip
hentiao	horizontal strip
hgb	penis otariae
hgs	ursine seal testes and penis
hgs	ursine seal's testes and penis
hhe	suicide
hlz	semen lagenariae sicerariae
hmt	erectile tissue (genital)
hmz	semen lini
hongdou	semen ormosiae semicastratae
hongxingzhiwang	suicide kings
hongxinzhiwang	suicide kings
hongxinziwang	suicide kings
hrm	fuck with people
hrz	bunny fuck
hsbd	fuck yous
hssk	porn
htr	juglandis semen
htr	semen juglandis
htr	semen juplandis
huaban	contact strip
huaban	wearing strip
huairengmeng	fuck with people
huairenmen	fuck with people
huamin	professional name of a prostitute
huaming	professional name of a prostitute
huangdidexingyi	the Emperor's new clothes (i.e. naked)
huangdidexinyi	the Emperor's new clothes (i.e. naked)
huangseshukan	porn
huangsesukan	porn
huangsheshukan	porn
huangtongdai	brass strip
huangyu	naked carp
huanxindai	endless strip
huanxingdai	endless strip
huatai	threatened abortion
huaxiang	presentment
huaxindao	taxi strip
huaxingdao	taxi strip
hubian	tiger testes and penis
huizhang	flash
hulao	fuck sb around
huluba	semen trigonellae
hunao	fuck sb around
hundan	fuck yous
hunrizhi	bunny fuck
hunrizi	bunny fuck
hunuba	semen trigonellae
hunxiaozhi	fuck boy
hunxiaozi	fuck boy
hushuobadao	fuck yous
husuobadao	fuck yous
hxt	strip plot
hxz	fuck boy
hxzw	suicide kings
hyb	ano-genital
hydj	torture instrument
hyq	vagina mucosa
hzm	semen sesami
hzm	semen sesami nigri
hzm	semen sesami nigrum
hzm	sesami semen nigrum
ja	to torture
ja	torture
jb	penis
jbl	diarrhea alba
jbl	white diarrhea of chicks
jcp	contact strip
jdmq	vagina carotica fasciae cervicalis
jds	modern history (for China, from the Opium Wars until the fall of the Qing Dynasty, i.e. mid-19th to early 20th century)
jfd	integral strip
jfm	Garfield (comic strip cat created by Jim Davis)
jgh	flos et semen celosiae
jgt	spacing strip
