pinyin_key	rank	candidate
biaosibuman	1	pitch a bitch
biaosifennu	1	shit
biaozhiyangde	1	son of the bitch
biaozhiyangde	2	son-of-a-bitch
biaozhiyangde	3	sons of a bitch
biaoziyangde	1	son of the bitch
biaoziyangde	2	son-of-a-bitch
biaoziyangde	3	sons of a bitch
bichi	6	bitch (loanword) (Internet slang)
bici	14	bitch (loanword) (Internet slang)
biecedan	1	no shit
biechedan	1	no shit
biefeihua	1	no shit
biqi	14	bitch
biyuntao	1	condom
bme	1	heroin
bolengguazhi	2	semen herpetospermi
bolengguazi	2	semen herpetospermi
bonengguazi	2	semen herpetospermi
boqi	1	erection
boqi	2	to have an erection
borandalu	50	go ape shit
borandalu	51	go ape-shit
borandanu	50	go ape shit
borandanu	51	go ape-shit
bozhi	2	cripple
bozi	2	cripple
bqtszhz	2	ophthalmo oro genital syndrome
bqtszhz	3	ophthalmo-oro-genital syndrome
brdn	50	go ape-shit
brld	2	raped
bsb	8	no shit
bsbm	1	pitch a bitch
bsfn	1	shit
bssb	3	ophthalmooral genital syndrome
bssb	4	ophthalmooral-genital syndrome
buchifan	2	take-no-shit
bucifan	2	take-no-shit
bushiba	1	no shit
busiba	1	no shit
buxieyigu	6	don't give a shit
buzaihu	8	give a shit
buzhaihu	8	give a shit
buzhongyaode	25	diddley-shit
buzongyaode	25	diddley-shit
bxt	1	condom
bxyg	6	don't give a shit
bybr	3	bat-shit crazy
bysg	7	db retard
byt	1	condom
bzh	20	give a shit
bzyd	25	diddley-shit
bzyd	37	son of the bitch
bzyd	38	son-of-a-bitch
bzyd	39	sons of a bitch
ca	54	massacre
caifuzhi	2	semen raphani
caifuzi	1	semen raphani
caihua	2	gonorrhea
canan	1	massacre
canbai	12	massacre
canfei	3	cripple
cangai	1	bowel cancer
cangai	2	bowel cancers
cangdaogongneng	1	bowel function
canggengzu	2	bowel obstruction
canggengzu	3	bowel obstructions
canggongneng	1	bowel function
cangmingyin	1	bowel sound
cangmingyin	2	bowel sounds
cangmingyin	3	bowel tones
cangmingyinyicang	1	bowel sounds abnormal
cangniuzhuan	6	twisting of bowel
cangqiang	13	bowel lumen
cangrudong	4	movements of the bowel
cangyijizonghezheng	1	irritable bowel syndrome (IBS)
cangyijizonghezheng	2	irritable bowel syndrome
cangyinkangjin	1	excessive bowel sounds
cangzigongneimoyiwei	1	endometriosis in bowel
canhai	5	slaughter
canhai	8	to slaughter
canjiren	2	cripple
canjireng	2	cripple
cansa	1	massacre
cansa	2	slaughter
cansa	3	to massacre
cansa	4	to slaughter
cansa	30	faeces bombycum
cansha	1	massacre
cansha	2	slaughter
cansha	3	to massacre
cansha	4	to slaughter
cansha	30	faeces bombycum
canxixi	1	up shit creek
caobao	1	idiot
caodoukou	4	semen alpiniae
caojuemin	1	semen cassiae torae
caojueming	1	semen cassiae torae
caonao	39	piss around
cdb	40	eat shit
cdgn	1	bowel function
cdjb	11	massacre
cedijibai	11	massacre
cejibadan	4	to talk shit
cenbo	1	morning erection
cengyinzheng	1	sex addict
cenni	8	addict
ceqianzi	5	plantaginis semen
ceshuo	34	shit-house
ceshuo	46	shit house
ceshuo	47	shit-houses
cesuo	34	shit-house
cesuo	46	shit house
cesuo	47	shit-houses
cgn	1	bowel function
cgz	23	bowel obstruction
cgz	24	bowel obstructions
chaifuzi	1	semen raphani
chaihua	2	gonorrhea
chanan	1	massacre
chanbai	12	massacre
chanfei	3	cripple
changai	1	bowel cancer
changai	2	bowel cancers
changdaogongleng	1	bowel function
changdaogongnen	1	bowel function
changdaogongneng	1	bowel function
changgengzhu	2	bowel obstruction
changgengzhu	3	bowel obstructions
changgengzu	2	bowel obstruction
changgengzu	3	bowel obstructions
changgenzu	2	bowel obstruction
changgenzu	3	bowel obstructions
changgongleng	1	bowel function
changgongnen	1	bowel function
changgongneng	1	bowel function
changliuzhuan	6	twisting of bowel
changmingyin	1	bowel sound
changmingyin	2	bowel sounds
changmingyin	3	bowel tones
changmingying	1	bowel sound
changmingying	2	bowel sounds
changmingying	3	bowel tones
changmingyingyichang	1	bowel sounds abnormal
changmingyinyichang	1	bowel sounds abnormal
changminyin	1	bowel sound
changminyin	2	bowel sounds
changminyin	3	bowel tones
changminyinyichang	1	bowel sounds abnormal
changniuzhuan	6	twisting of bowel
changniuzuan	6	twisting of bowel
changqiang	13	bowel lumen
changrudong	4	movements of the bowel
changyijizhonghezheng	1	irritable bowel syndrome (IBS)
changyijizhonghezheng	2	irritable bowel syndrome
changyijizonghezeng	1	irritable bowel syndrome (IBS)
changyijizonghezeng	2	irritable bowel syndrome
changyijizonghezhen	1	irritable bowel syndrome (IBS)
changyijizonghezhen	2	irritable bowel syndrome
changyijizonghezheng	1	irritable bowel syndrome (IBS)
changyijizonghezheng	2	irritable bowel syndrome
changyingkangjing	1	excessive bowel sounds
changyinkangjin	1	excessive bowel sounds
changzhigongneimoyiwei	1	endometriosis in bowel
changzigongleimoyiwei	1	endometriosis in bowel
changzigongneimoyiwei	1	endometriosis in bowel
chanhai	8	slaughter
chanhai	11	to slaughter
chanjiren	2	cripple
chansha	1	massacre
chansha	2	slaughter
chansha	3	to massacre
chansha	4	to slaughter
chansha	30	faeces bombycum
chanxixi	1	up shit creek
chaobao	24	idiot
chaodoukou	4	semen alpiniae
chaojueming	1	semen cassiae torae
chaolao	39	piss around
chaonao	34	piss around
chedijibai	11	massacre
chejibadan	4	to talk shit
chenbo	1	morning erection
chengbo	1	morning erection
chengni	33	addict
chengyingzheng	1	sex addict
chengyinzeng	1	sex addict
chengyinzheng	1	sex addict
chenli	45	addict
chenni	8	addict
chenyinzhen	1	sex addict
cheqianzhi	5	plantaginis semen
cheqianzi	5	plantaginis semen
chesuo	37	shit-house
chesuo	49	shit house
chesuo	50	shit-houses
chidabian	1	eat shit
chihelasashui	3	to eat, drink, shit, piss, and sleep
chihelasasui	3	to eat, drink, shit, piss, and sleep
chihelashashui	3	to eat, drink, shit, piss, and sleep
chihenasashui	3	to eat, drink, shit, piss, and sleep
chilibutaohao	4	piss into the wind
chilibutaohao	5	piss against the wind
chinibutaohao	4	piss into the wind
chinibutaohao	5	piss against the wind
chiyan	5	retard
chiyan	12	in retard
chlss	3	to eat, drink, shit, piss, and sleep
chouhuo	1	bitch
chuanwei	11	buttock
chuifei	3	to fatten (animal before slaughter)
chuiliupi	4	shooting the shit
chuiliupi	5	shoots the shit
chuiliupi	6	shot the shit
chuiniupi	4	shooting the shit
chuiniupi	5	shoots the shit
chuiniupi	6	shot the shit
chuituji	4	vomit
chulai	27	shit out
chunai	30	shit out
chuncai	1	idiot
chunchai	1	idiot
chunhuo	4	idiot
chunhuo	5	moron
chunren	37	village idiot
chunreng	37	village idiot
chunzhu	1	idiot
chunzhu	4	piss artist
chunzhu	5	piss-artist
chunzu	1	idiot
chunzu	4	piss artist
chunzu	5	piss-artist
chuowude	10	bastard
chuseng	1	bastard
chusheng	1	bastard
chushizhi	5	semen browsonetiae
chushizi	3	semen browsonetiae
chusizi	3	semen browsonetiae
chutang	3	bastard sugar
cidabian	1	eat shit
cihelasashui	3	to eat, drink, shit, piss, and sleep
cilibutaohao	4	piss into the wind
cilibutaohao	5	piss against the wind
ciyan	26	retard
ciyan	33	in retard
cjbd	4	to talk shit
cjr	8	cripple
clbth	4	piss into the wind
clbth	5	piss against the wind
cmy	40	bowel sound
cmy	41	bowel sounds
cmy	42	bowel tones
cmyyc	1	bowel sounds abnormal
cnp	4	shooting the shit
cnp	5	shoots the shit
cnp	6	shot the shit
cnz	16	twisting of bowel
couhuo	1	bitch
ctj	18	vomit
cuanwei	18	buttock
cuifei	2	to fatten (animal before slaughter)
cuiniupi	4	shooting the shit
cuiniupi	5	shoots the shit
cuiniupi	6	shot the shit
cuituji	4	vomit
culai	27	shit out
cuncai	1	idiot
cunhuo	43	idiot
cunhuo	44	moron
cunren	37	village idiot
cunzhu	1	idiot
cunzhu	4	piss artist
cunzhu	5	piss-artist
cuowude	10	bastard
cusheng	10	bastard
cushizi	3	semen browsonetiae
cutang	3	bastard sugar
cwd	12	bastard
cxx	28	up shit creek
cyjzhz	1	irritable bowel syndrome (IBS)
cyjzhz	2	irritable bowel syndrome
cykj	2	excessive bowel sounds
cyz	48	sex addict
czgnmyw	1	endometriosis in bowel
dabaichi	1	blooming idiot
dabaici	2	blooming idiot
dabendan	2	blooming idiot
dabengdan	2	blooming idiot
dabian	17	shit
dabian	47	a bowel movement
dabian	62	to take a shit
dabianbianse	1	faeces discoloured
dabianbianshe	1	faeces discoloured
dabianshijin	2	bowel incontinence
dabianshijing	2	bowel incontinence
dabiansijin	2	bowel incontinence
dacang	10	large bowel
dacangai	1	bowel cancer
dacanggengzu	2	large bowel obstruction
dachang	10	large bowel
dachangai	1	bowel cancer
dachanggengzhu	2	large bowel obstruction
dachanggengzu	2	large bowel obstruction
dachanggenzu	2	large bowel obstruction
dadiao	1	abort
dadiao	8	to abort (a fetus)
dadouhuangjuan	2	semen sojae geminatum
dadouhuangjuan	3	semen sojae germinatum
dahuaidan	1	bastard
daigua	2	idiot
daishupi	1	kangaroo-piss
daisupi	1	kangaroo-piss
daitao	1	to wear a condom
daitu	17	lynch-man
daizaigaoyang	1	lambs to the slaughter
daizhaigaoyang	1	lambs to the slaughter
dalikafei	2	semen coffeae libericae
dama	5	marijuana
dama	30	panama marijuana
damalanyong	1	marijuana abuse
damananyong	1	marijuana abuse
damaren	2	semen cannabis
damareng	2	semen cannabis
damayan	5	marijuana-smoking
damayan	9	thumb marijuana cigarette
damayilai	2	marijuana dependence
damayinai	2	marijuana dependence
dandouchi	2	semen sojae praeparatum
dandouchi	3	semen sojae preparatrm
dandouchi	4	semen sojae preparatum
dandouchi	5	sojae semen praeparatum
dandouci	2	semen sojae praeparatum
dandouci	3	semen sojae preparatrm
dandouci	4	semen sojae preparatum
dandouci	5	sojae semen praeparatum
danikafei	2	semen coffeae libericae
danwu	10	keep at retard
danxiaogui	21	chicken shit
danxiaogui	24	chicken-shit
danxiaoshuanyishanlizhi	4	ismn 40 stada retard
danxiaosuanyisanlizhi	4	ismn 40 stada retard
danxiaosuanyishanlizhi	4	ismn 40 stada retard
danxiaosuanyishanlizi	4	ismn 40 stada retard
danxiaosuanyishannizhi	4	ismn 40 stada retard
daoca	6	bitch the pot
daocha	6	bitch the pot
daodouzhi	1	semen canavaliae
daodouzi	1	semen canavaliae
daoguangxueyin	1	massacre
daoguangxueying	1	massacre
dasagua	4	blooming idiot
dasagua	5	a blithering idiot
dashagua	4	blooming idiot
dashagua	5	a blithering idiot
datai	1	to have an abortion
datusa	1	Holocaust
datusa	2	massacre
datusa	3	bloodbath
datusa	15	holocaust denial
datusa	16	holocaust-denial
datusa	20	the holocaust
datusa	23	wholesale slaughter
datusa	24	the massacre of the innocents
datusasijian	1	Holocaust
datusasijian	2	massacre
datusha	1	Holocaust
datusha	2	massacre
datusha	3	bloodbath
datusha	15	holocaust denial
datusha	16	holocaust-denial
datusha	20	the holocaust
datusha	23	wholesale slaughter
datusha	24	the massacre of the innocents
datushashijian	1	Holocaust
datushashijian	2	massacre
daxiaobianshijin	1	bowel incontinence
daxiaobianshijing	1	bowel incontinence
daxiaobiansijin	1	bowel incontinence
dayu	3	idiot
dbbs	1	faeces discoloured
dbsj	7	bowel incontinence
dca	1	bowel cancer
dcgz	6	large bowel obstruction
dczhz	3	short bowel syndrome
dczhz	4	short-bowel syndrome
dczhz	5	short bowel syndrone
dczhz	6	short-bowel syndrone
ddhj	3	semen sojae geminatum
ddhj	4	semen sojae germinatum
ddlcxyq	1	electric abortion suction unit
deguolacui	1	german nazi
deguolacui	3	nazi germany
deguonachui	1	german nazi
deguonachui	3	nazi germany
deguonacui	1	german nazi
deguonacui	3	nazi germany
demin	5	is 5 mono retard
demin	7	is 5 mono retard-ratiopharm 40
deming	5	is 5 mono retard
deming	7	is 5 mono retard-ratiopharm 40
dgnc	1	german nazi
dgnc	3	nazi germany
dgxy	1	massacre
dhd	1	bastard
diandongliucanxiyinqi	1	electric abortion suction unit
diandongliuchanxiyingqi	1	electric abortion suction unit
diandongliuchanxiyinqi	1	electric abortion suction unit
diandongniuchanxiyinqi	1	electric abortion suction unit
dianshiji	12	idiot boxes
dianshiji	13	idiot's lantern
diansiji	12	idiot boxes
diansiji	13	idiot's lantern
diexue	1	bloodbath
dilenger	1	idiot
dilenger	2	moron
dinener	1	idiot
dinener	2	moron
dinenger	1	idiot
dinenger	2	moron
disandiguo	1	Third Reich, Nazi regime (1933-1945)
dishandiguo	1	Third Reich, Nazi regime (1933-1945)
djj	18	bitch box
dlkf	3	semen coffeae libericae
dm	30	marijuana
dmly	2	marijuana abuse
dmy	32	marijuana-smoking
dmy	36	thumb marijuana cigarette
dmyl	4	marijuana dependence
dne	2	idiot
dne	3	moron
dongguazhi	2	benincasae semen
dongguazhi	3	semen benincasae
dongguazi	2	benincasae semen
dongguazi	3	semen benincasae
douliu	64	bull-bitch
douniu	6	bull-bitch
douzanaojin	1	idiot
douzhalaojin	1	idiot
douzhanaojin	1	idiot
douzhanaojing	1	idiot
dsdg	1	Third Reich, Nazi regime (1933-1945)
dsg	55	blooming idiot
dsg	60	a blithering idiot
dsp	22	kangaroo-piss
dts	1	Holocaust
dts	2	massacre
dts	9	bloodbath
dts	44	the holocaust
dts	50	wholesale slaughter
dts	51	the massacre of the innocents
dtssj	1	Holocaust
dtssj	2	massacre
duanbei	1	homosexual
duanbei	2	homosexual, cf Ang Lee's Brokeback Mountain
duancangzonghezheng	3	short bowel syndrome
duancangzonghezheng	4	short-bowel syndrome
duancangzonghezheng	5	short bowel syndrone
duancangzonghezheng	6	short-bowel syndrone
duanchangzhonghezheng	3	short bowel syndrome
duanchangzhonghezheng	4	short-bowel syndrome
duanchangzhonghezheng	5	short bowel syndrone
duanchangzhonghezheng	6	short-bowel syndrone
duanchangzonghezeng	3	short bowel syndrome
duanchangzonghezeng	4	short-bowel syndrome
duanchangzonghezeng	5	short bowel syndrone
duanchangzonghezeng	6	short-bowel syndrone
duanchangzonghezhen	3	short bowel syndrome
duanchangzonghezhen	4	short-bowel syndrome
duanchangzonghezhen	5	short bowel syndrone
duanchangzonghezhen	6	short-bowel syndrone
duanchangzonghezheng	3	short bowel syndrome
duanchangzonghezheng	4	short-bowel syndrome
duanchangzonghezheng	5	short bowel syndrone
duanchangzonghezheng	6	short-bowel syndrone
duanxiu	1	homosexual
dugui	1	gambling addict
duijiangji	3	bitch box
duleishi	2	Durex, a condom brand name
duleisi	2	Durex, a condom brand name
duneisi	2	Durex, a condom brand name
duotai	3	induced abortion
duotai	4	to induce an abortion
duotai	6	abortin
duotai	7	foeticide
duotai	8	abort
duotaiquan	1	abortion right
duotaiquan	2	abortion-right
duotaiquan	3	abortion-rights
dxbsj	1	bowel incontinence
dxg	51	chicken shit
dxg	54	chicken-shit
dxsyslz	4	ismn 40 stada retard
dzgy	9	lambs to the slaughter
dznj	1	idiot
eb	3	idiot
eb	9	(slang) idiot
ebw	1	idiot
eliao	1	urinate
eliao	2	to urinate
en	18	urinate
en	24	to urinate
eniao	1	urinate
eniao	2	to urinate
eqmd	1	secondary syphilis
eqmd	3	syphilis secondaria
erbaiwu	1	idiot
erbi	1	idiot
erbi	3	(slang) idiot
erqimeidu	1	secondary syphilis
erqimeidu	3	syphilis secondaria
eryixianmafei	2	heroin or cocaine
exingmeidu	1	fulminant syphilis
exingmeidu	2	malignant syphilis
exingmeidu	4	maligna syphilis
exingmeidu	5	syphilis maligna
exinmeidu	1	fulminant syphilis
exinmeidu	2	malignant syphilis
exinmeidu	4	maligna syphilis
exinmeidu	5	syphilis maligna
exmd	1	fulminant syphilis
exmd	2	malignant syphilis
exmd	4	maligna syphilis
exmd	5	syphilis maligna
eyxmf	2	heroin or cocaine
facai	5	bitch goddess
fachai	6	bitch goddess
fafen	57	lose my shit
fafeng	41	lose my shit
falaosao	34	bitch
falaosao	45	bitch about
falaosao	64	pitch a bitch
falaoshao	34	bitch
falaoshao	45	bitch about
falaoshao	64	pitch a bitch
fanaosao	34	bitch
fanaosao	45	bitch about
fanaosao	64	pitch a bitch
fangai	23	retard
fanghudun	1	bitch shield
fangpi	12	horse-shit
fanji	12	holocaust
fanlacui	1	anti-nazi
fannachui	1	anti-nazi
fannacui	1	anti-nazi
fantong	22	sack of shit
fantongxinglian	1	anti-homosexual
fantongxingnian	1	anti-homosexual
fantongxinlian	1	anti-homosexual
fasengle	1	shit happens
fasesibai	1	launch abort
fashengle	1	shit happens
fashengne	1	shit happens
fashenle	1	shit happens
fasheshibai	1	launch abort
fayubuquan	4	abort
fccs	1	hot-shit
fccs	3	hot shit
feicangcuse	1	hot-shit
feicangcuse	3	hot shit
feichangchuse	1	hot-shit
feichangchuse	3	hot shit
feichangchushe	1	hot-shit
feichangchushe	3	hot shit
feifaduotai	1	illegal abortion
feihua	55	bull-shit
feihua	62	bull shit
feimeidu	1	pulmonary syphilis
feimeidu	2	syphilis of lung
feiwu	61	a pile of shit
feiye	15	bastard titles
fenbian	38	bowel movement
fengbian	54	bowel movement
fenghuangdan	2	semen cycadis revolutae
fengkuangde	58	ape-shit
fengkuangderen	2	blithering idiot
fengkuangdereng	2	blithering idiot
fengqing	16	shit youth
fengsipili	2	pneumorel retard
fengtao	18	homosexual
fengzen	13	bastard measles
fengzen	14	bastard metastasis
fengzen	35	bastard measle
fengzhen	13	bastard measles
fengzhen	14	bastard metastasis
fengzhen	35	bastard measle
fengzheng	50	bastard measles
fengzheng	51	bastard metastasis
fenhuangdan	2	semen cycadis revolutae
fenkuangde	58	ape-shit
fenkuangderen	2	blithering idiot
fenqin	12	shit youth
fenqing	6	shit youth
fenshipili	2	pneumorel retard
fensipili	2	pneumorel retard
fensipini	2	pneumorel retard
fentao	1	homosexual
fenzhen	47	bastard measles
fenzhen	48	bastard metastasis
ffdt	1	illegal abortion
ffxeqmd	1	relapsing secondary syphilis
fgmd	1	syphilis of epididymis
fhd	56	bitch shield
fkdr	2	blithering idiot
fls	53	bitch
fmd	33	pulmonary syphilis
fmd	34	syphilis of lung
fnc	2	anti-nazi
fsl	29	shit happens
fspl	13	pneumorel retard
fssb	1	launch abort
ft	45	homosexual
ftxl	1	anti-homosexual
fufaxinerqimeidu	1	relapsing secondary syphilis
fufaxingerqimeidu	1	relapsing secondary syphilis
fugaomeidu	1	syphilis of epididymis
fujin	24	up in this bitch
fujing	30	up in this bitch
fulv	29	fujoshi (woman who likes mangas about male homosexual love)
funv	29	fujoshi (woman who likes mangas about male homosexual love)
fupo	2	rich-bitch
fuxie	2	to have the runs
fuxie	20	loose bowel
fuxie	27	loose bowel movements
fybq	4	abort
gaishi	24	oh shit
gaisi	21	oh shit
gantazhuli	1	tower erection
gantazuli	1	tower erection
gantazuni	1	tower erection
gaochao	3	orgasm
gaoji	8	(slang) to engage in male homosexual practices
gaowanmeidu	1	syphilis of testis
gaowanmeidu	2	testicular syphilis
gaoza	5	bitch
gaozha	5	bitch
gdaz	5	piping erection
gejiyanyongliudao	2	lit. why use a pole-ax to slaughter a chicken? (idiom)
gejiyanyongniudao	2	lit. why use a pole-ax to slaughter a chicken? (idiom)
gepeier	1	Joseph Goebbels (1897-1945), German Nazi leader and politician
geshuan	6	l-cocaine chromate
gesuan	6	l-cocaine chromate
gez	1	bastard
gez	2	(coll.) bastard
gez	3	son of a bitch
ggblcs	2	lit. a dog can't stop himself from eating shit (idiom)
gjaz	1	erection of framing
gjyynd	2	lit. why use a pole-ax to slaughter a chicken? (idiom)
gkj	1	cocaine
gkj	5	cocaine (loanword)
gkj	26	l-cocaine
gkj	29	heroin or cocaine
gkj	30	bouncing powder cocaine
gks	2	coca plant (source of cocaine)
gnmdd	1	shit in your hat
gnmdd	2	go shit in your hat
gnyd	1	son of a bitch
gougaibuliaochishi	2	lit. a dog can't stop himself from eating shit (idiom)
gougaibuliaochisi	2	lit. a dog can't stop himself from eating shit (idiom)
gougaibuliaocishi	2	lit. a dog can't stop himself from eating shit (idiom)
gougaibuniaochishi	2	lit. a dog can't stop himself from eating shit (idiom)
gouliangyangde	1	son of a bitch
gouniangyangde	1	son of a bitch
goupi	3	shit
goupi	5	shit hole
goushi	4	dog-shit
goushi	6	shit-fit
goushi	7	shit-heel
goushi	8	shit-ton
goushi	10	dog shit
goushi	12	shit bird
goushi	13	shit-brindle
goushiyun	2	Lucky bastard! (slang)
gousi	22	dog-shit
gousi	24	shit-fit
gousi	25	shit-heel
gousi	26	shit-ton
gousi	28	dog shit
gousi	30	shit bird
gousi	31	shit-brindle
gousiyun	2	Lucky bastard! (slang)
gouxingtu	1	genital hook
gouxingtu	4	genital hamule
gouxintu	1	genital hook
gouxintu	4	genital hamule
gouzaizi	3	(derog.) son of a bitch
gouzashui	2	piece of shit
gouzasui	2	piece of shit
gouzazhong	1	damn bastard
gouzazhong	2	son of a bitch
gouzazong	1	damn bastard
gouzazong	2	son of a bitch
gouzhaizhi	3	(derog.) son of a bitch
gouzhasui	2	piece of shit
gouzhazhong	1	damn bastard
gouzhazhong	2	son of a bitch
gpe	1	Joseph Goebbels (1897-1945), German Nazi leader and politician
gqlc	1	abortion missed
gqlc	2	missed abortion
grxc	1	close kindred slaughter one another (idiom); internecine strife
gsy	6	Lucky bastard! (slang)
gsz	1	bastard
gsz	7	(coll.) son of a bitch
gtzl	2	tower erection
gualouzhi	5	trichosanthis semen
gualouzi	5	trichosanthis semen
guanjian	14	lynch-pin
guanjian	15	lynch-pins
guanouzi	5	trichosanthis semen
guaweiren	1	semen trichosanthis
guaweireng	1	semen trichosanthis
gugou	2	buttock cleavage
guierzhi	1	bastard
guierzhi	2	(coll.) bastard
guierzhi	3	son of a bitch
guierzi	1	bastard
guierzi	2	(coll.) bastard
guierzi	3	son of a bitch
guishunzi	1	bastard
guishunzi	2	(coll.) son of a bitch
guisunzhi	1	bastard
guisunzhi	2	(coll.) son of a bitch
guisunzi	1	bastard
guisunzi	2	(coll.) son of a bitch
guitou	1	glans penis
guizhishou	11	slaughter man
guizishou	11	slaughter man
guizisou	11	slaughter man
guke	11	(botany) coca (source of cocaine)
gukejian	1	cocaine
gukejian	2	cocaine (loanword)
gukejian	4	l-cocaine
gukejian	5	bouncing powder cocaine
gukeshu	1	coca plant (source of cocaine)
gukesu	1	coca plant (source of cocaine)
gunkai	9	piss-off
gunkai	21	piss off
gunkai	41	go piss up a rope
gunlimadedan	1	shit in your hat
gunlimadedan	2	go shit in your hat
gunnimadedan	1	shit in your hat
gunnimadedan	2	go shit in your hat
guoqiliucan	1	abortion missed
guoqiliucan	2	missed abortion
guoqiliuchan	1	abortion missed
guoqiliuchan	2	missed abortion
guoqiniuchan	1	abortion missed
guoqiniuchan	2	missed abortion
gurouxiangcan	1	close kindred slaughter one another (idiom); internecine strife
